Star  Name                          R.A.          Dec.         Mag
-------------------------------------------------------------------
1    W Cet ~                        0 02 07.2    -14 40 34     7.40
2    21 Alpha And Alpheratz         0 08 23.2     29 05 26     2.06
3    11 Beta Cas Caph               0 09 10.6     59 08 59     2.27
4    Epsilon Phe                    0 09 24.6    -45 44 51     3.88
5    88 Gamma Peg Algenib           0 13 14.1     15 11 01     2.83
6    8 Iota Cet                     0 19 25.6     -8 49 26     3.56
7    T Cas ~                        0 23 14.5     55 47 33     6.60
8    R And ~                        0 24 01.9     38 34 38     7.39
9    Beta Hyi                       0 25 46.0    -77 15 15     2.80
10   Kappa Phe                      0 26 12.1    -43 40 48     3.94
11   Alpha Phe                      0 26 17.0    -42 18 22     2.39
12   14 Lambda Cas *                0 31 46.3     54 31 20     4.73
13   17 Zeta Cas                    0 36 58.2     53 53 49     3.67
14   31 Delta And                   0 39 19.6     30 51 40     3.27
15   18 Alpha Cas Schedar           0 40 30.4     56 32 15     2.23
16   16 Beta Cet Diphda             0 43 35.3    -17 59 12     2.04
17   24 Eta Cas *                   0 49 05.9     57 48 58     3.41
18   27 Gamma Cas                   0 56 42.4     60 42 00     2.47
19   37 Mu And                      0 56 45.1     38 29 58     3.87
20   U Cep ~                        1 02 18.3     81 52 33     6.60
21   Beta Phe                       1 06 05.0    -46 43 07     3.31
22   Zeta Phe                       1 08 23.0    -55 14 45     3.92
23   31 Eta Cet                     1 08 35.3    -10 10 56     3.45
24   43 Beta And Mirach             1 09 43.8     35 37 14     2.06
25   45 Theta Cet                   1 24 01.3     -8 11 01     3.60
26   37 Delta Cas                   1 25 48.9     60 14 07     2.68
27   Gamma Phe                      1 28 21.9    -43 19 06     3.41
28   Delta Phe                      1 31 15.0    -49 04 22     3.95
29   99 Eta Psc                     1 31 28.9     15 20 45     3.62
30   Alpha Eri Achernar             1 37 42.9    -57 14 12     0.46
31   51 And                         1 37 59.5     48 37 42     3.57
32   52 Tau Cet                     1 44 04.0    -15 56 15     3.50
33   55 Zeta Cet                    1 51 27.6    -10 20 06     3.73
34   2 Alpha Tri                    1 53 04.8     29 34 44     3.41
35   45 Epsilon Cas                 1 54 23.6     63 40 13     3.38
36   6 Beta Ari                     1 54 38.3     20 48 29     2.64
37   Sigma 186 *                    1 55 53.7      1 50 59     6.01
38   Chi Eri                        1 55 57.5    -51 36 32     3.70
39   Alpha Hyi                      1 58 46.2    -61 34 12     2.86
40   113 Alpha Psc *                2 02 02.7      2 45 49     3.82
41   50 Cas                         2 03 26.0     72 25 17     3.98
42   57 Gamma-1 And * Almach        2 03 53.9     42 19 47     2.18
43   13 Alpha Ari Hamal             2 07 10.3     23 27 45     2.00
44   4 Beta Tri                     2 09 32.5     34 59 14     3.00
45   Phi Eri                        2 16 30.6    -51 30 44     3.56
46   W And ~                        2 17 33.3     44 18 26     7.50
47   68 Omicron Cet Mira ~          2 19 20.6     -2 58 39     3.04
48   Delta Hyi                      2 21 45.0    -68 39 34     4.09
49   1 Alpha UMi Polaris            2 31 50.4     89 15 51     2.02
50   U Cet ~                        2 33 43.7    -13 08 56     6.50
51   R Tri ~                        2 37 00.0     34 16 00     5.40
52   86 Gamma Cet                   2 43 18.0      3 14 09     3.47
53   41 Ari                         2 49 58.9     27 15 38     3.63
54   15 Eta Per                     2 50 41.8     55 53 44     3.76
55   18 Tau Per                     2 54 15.4     52 45 45     3.95
56   3 Eta Eri                      2 56 25.6     -8 53 54     3.89
57   Theta Eri-1 *                  2 58 15.6    -40 18 17     3.24
58   Theta Eri-2                    2 58 16.2    -40 18 16     4.35
59   92 Alpha Cet                   3 02 16.7      4 05 23     2.53
60   23 Gamma Per                   3 04 47.7     53 30 23     2.93
61   25 Rho Per ~                   3 05 10.5     38 50 25     3.39
62   26 Beta Per Algol ~            3 08 10.1     40 57 21     2.12
63   27 Kappa Per                   3 09 29.7     44 51 27     3.80
64   Alpha For                      3 12 04.2    -28 59 13     3.87
65   16 Tau Eri                     3 19 30.9    -21 45 28     3.69
66   33 Alpha Per Mirfak            3 24 19.3     49 51 40     1.80
67   1 Omicron Tau                  3 24 48.7      9 01 44     3.60
68   2 Xi Tau                       3 27 10.1      9 43 58     3.74
69   5 Tau                          3 30 52.3     12 56 12     4.11
70   18 Epsilon Eri                 3 32 55.8     -9 27 30     3.73
71   39 Delta Per                   3 42 55.4     47 47 15     3.01
72   23 Delta Eri                   3 43 14.8     -9 45 48     3.54
73   Beta Ret                       3 44 12.0    -64 48 26     3.85
74   38 Omicron Per                 3 44 19.1     32 17 18     3.83
75   17 Tau                         3 44 52.5     24 06 48     3.70
76   41 Nu Per                      3 45 11.6     42 34 43     3.77
77   20 Tau                         3 45 49.5     24 22 04     3.88
78   23 Tau                         3 46 19.5     23 56 54     4.18
79   Gamma Hyi                      3 47 14.5    -74 14 20     3.24
80   25 Eta Tau                     3 47 29.0     24 06 18     2.87
81   27 Tau                         3 49 09.7     24 03 12     3.63
82   Omicron Sigma 65 *             3 50 18.8     25 34 46     5.24
83   44 Zeta Per                    3 54 07.8     31 53 01     2.85
84   45 Epsilon Per                 3 57 51.1     40 00 37     2.89
85   34 Gamma Eri                   3 58 01.7    -13 30 31     2.95
86   35 Lambda Tau ~                4 00 40.7     12 29 25     3.47
87   38 Nu Tau                      4 03 09.3      5 59 21     3.91
88   Alpha Hor                      4 14 00.0    -42 17 40     3.86
89   Alpha Ret                      4 14 25.5    -62 28 26     3.35
90   41 Eri                         4 17 53.6    -33 47 54     3.56
91   54 Gamma Tau                   4 19 47.5     15 37 39     3.63
92   61 Delta Tau                   4 22 56.0     17 32 33     3.76
93   43 Eri                         4 24 02.1    -34 01 01     3.96
94   77 Theta-1 Tau                 4 28 34.4     15 57 44     3.85
95   78 Theta-2 Tau                 4 28 39.6     15 52 15     3.42
96   Alpha Dor                      4 33 59.8    -55 02 42     3.27
97   52 Upsilon-2 Eri               4 35 33.0    -30 33 45     3.82
98   87 Alpha Tau Aldebaran         4 35 55.2     16 30 33     0.85
99   48 Nu Eri                      4 36 19.1     -3 21 09     3.93
100  53 Eri                         4 38 10.7    -14 18 15     3.87
101  T Cam ~                        4 40 08.4     66 08 38     7.70
102  1 Pi Ori                       4 49 50.3      6 57 41     3.19
103  3 Pi Ori                       4 51 12.3      5 36 18     3.69
104  8 Pi Ori                       4 54 15.0      2 26 26     3.72
105  3 Iota Aur                     4 56 59.5     33 09 58     2.69
106  R Lep ~                        4 59 36.4    -14 48 21     5.90
107  7 Epsilon Aur                  5 01 58.1     43 49 24     2.99
108  8 Zeta Aur                     5 02 28.6     41 04 33     3.75
109  2 Epsilon Lep                  5 05 27.6    -22 22 16     3.19
110  10 Eta Aur                     5 06 30.8     41 14 04     3.17
111  67 Beta Eri                    5 07 50.9     -5 05 11     2.79
112  5 Mu Lep                       5 12 55.8    -16 12 20     3.31
113  19 Beta Ori Rigel              5 14 32.2     -8 12 06     0.12
114  13 Alpha Aur Capella           5 16 41.3     45 59 53     0.08
115  R Aur ~                        5 17 17.8     53 35 10     6.40
116  20 Tau Ori                     5 17 36.3     -6 50 40     3.60
117  28 Eta Ori                     5 24 28.6     -2 23 50     3.36
118  24 Gamma Ori Bellatrix         5 25 07.8      6 20 59     1.64
119  112 Beta Tau Elnath            5 26 17.5     28 36 27     1.65
120  9 Beta Lep                     5 28 14.7    -20 45 35     2.84
121  Epsilon Col                    5 31 12.7    -35 28 15     3.87
122  33 Ori *                       5 31 14.4      3 17 32     5.46
123  34 Delta Ori Mintaka           5 32 00.3      0 17 57     2.23
124  11 Alpha Lep                   5 32 43.7    -17 49 20     2.58
125  Beta Dor                       5 33 37.5    -62 29 24     3.80
126  39 Lambda Ori                  5 35 08.2      9 56 02     3.39
127  44 Iota Ori                    5 35 25.9     -5 54 36     2.76
128  46 Epsilon Ori Alnilam         5 36 12.7     -1 12 07     1.70
129  123 Zeta Tau                   5 37 38.6     21 08 33     3.00
130  48 Sigma Ori                   5 38 44.7     -2 35 00     3.73
131  Alpha Col                      5 39 38.9    -34 04 27     2.64
132  50 Zeta Ori Alnitak            5 40 45.5     -1 56 34     1.77
133  13 Gamma Lep                   5 44 27.7    -22 26 55     3.60
134  14 Zeta Lep                    5 46 57.2    -14 49 20     3.55
135  Beta Pic                       5 47 17.1    -51 03 59     3.85
136  53 Kappa Ori  Saiph            5 47 45.3     -9 40 11     2.06
137  Beta Col                       5 50 57.5    -35 46 06     3.12
138  15 Delta Lep                   5 51 19.2    -20 52 45     3.81
139  32 Nu Aur                      5 51 29.3     39 08 55     3.97
140  58 Alpha Ori Betelgeuse        5 55 10.2      7 24 26     0.50
141  U Ori ~                        5 55 49.2     20 10 30     5.40
142  16 Eta Lep                     5 56 24.2    -14 10 04     3.71
143  Eta Col                        5 59 08.8    -42 48 55     3.96
144  33 Delta Aur                   5 59 31.6     54 17 05     3.72
145  34 Beta Aur Menkalinan         5 59 31.7     44 56 51     1.90
146  37 Theta Aur                   5 59 43.2     37 12 45     2.62
147                                 6 03 29.5     73 04 18     4.03
148  5 Gamma Mon                    6 14 51.3     -6 16 29     3.98
149  7 Eta Gem                      6 14 52.6     22 30 24     3.28
150  1 Zeta CMa                     6 20 18.7    -30 03 48     3.02
151  Delta Col                      6 22 06.7    -33 26 11     3.85
152  2 Beta CMa Mirzam              6 22 41.9    -17 57 22     1.98
153  V Mon ~                        6 22 43.7     -2 11 47     5.90
154  13 Mu Gem                      6 22 57.6     22 30 49     2.88
155  Alpha Car Canopus              6 23 57.1    -52 41 44    -0.72
156  T Mon ~                        6 25 13.0      7 05 09     5.98
157  11 Beta Mon                    6 28 48.9     -7 01 58     3.76
158  7 Nu-2 CMa                     6 36 41.0    -19 15 22     3.95
159  24 Gamma Gem Alhena            6 37 42.7     16 23 57     1.93
160  Nu Pup                         6 37 45.6    -43 11 45     3.17
161  27 Epsilon Gem                 6 43 55.9     25 07 52     2.98
162  9 Alpha CMa Sirius *           6 45 08.9    -16 42 58    -1.46
163  31 Xi Gem                      6 45 17.3     12 53 44     3.36
164  Omicron Sigma 156 *            6 47 23.4     18 11 36     6.16
165  Alpha Pic                      6 48 11.4    -61 56 29     3.27
166  13 Kappa CMa                   6 49 50.4    -32 30 31     3.96
167  Tau Pup                        6 49 56.1    -50 36 53     2.93
168  34 Theta Gem                   6 52 47.3     33 57 40     3.60
169  16 Omicron-1 CMa               6 54 07.8    -24 11 02     3.86
170  21 Epsilon CMa Adhara          6 58 37.5    -28 58 20     1.50
171  R Lyn ~                        7 01 17.9     55 19 51     7.80
172  22 Sigma CMa                   7 01 43.1    -27 56 06     3.46
173  24 Omicron-2 CMa               7 03 01.4    -23 50 00     3.03
174  43 Zeta Gem ~                  7 04 06.5     20 34 13     3.79
175  25 Delta CMa Wezen             7 08 23.4    -26 23 36     1.86
176  R CMi ~                        7 08 42.6     10 01 25     7.00
177  Gamma-2 Vol                    7 08 45.0    -70 29 57     3.80
178  28 Omega CMa                   7 14 48.6    -26 46 22     3.85
179  Delta Vol                      7 16 49.8    -67 57 27     3.98
180  Pi Pup                         7 17 08.5    -37 05 51     2.70
181  54 Lambda Gem                  7 18 05.5     16 32 25     3.58
182  55 Delta Gem                   7 20 07.3     21 58 56     3.53
183  31 Eta CMa                     7 24 05.6    -29 18 11     2.44
184  60 Iota Gem                    7 25 43.5     27 47 53     3.79
185  3 Beta CMi                     7 27 09.0      8 17 21     2.90
186  Sigma Pup                      7 29 13.8    -43 18 05     3.25
187  S CMi ~                        7 32 43.0      8 19 06     6.90
188  66 Alpha Gem Castor *          7 34 35.9     31 53 18     1.58
189                                 7 38 49.7    -26 48 13     3.82
190  10 Alpha CMi Procyon           7 39 18.1      5 13 30     0.38
191  26 Alpha Mon                   7 41 14.8     -9 33 04     3.93
192  Zeta Vol                       7 41 49.3    -72 36 22     3.95
193  3 Pup                          7 43 48.4    -28 57 18     3.96
194  77 Kappa Gem                   7 44 26.8     24 23 52     3.57
195                                 7 45 15.2    -37 58 07     3.59
196  78 Beta Gem Pollux             7 45 18.9     28 01 34     1.14
197  7 Xi Pup                       7 49 17.6    -24 51 35     3.34
198                                 7 52 13.0    -40 34 33     3.73
199  Chi Car                        7 56 46.7    -52 58 56     3.47
200  Zeta Pup Naos                  8 03 35.0    -40 00 12     2.25
201  15 Rho Pup                     8 07 32.6    -24 18 15     2.81
202  Gamma Vel Regor                8 09 31.9    -47 20 12     1.78
203  16 Zeta Cnc *                  8 12 12.6     17 38 52     4.73
204  17 Beta Cnc                    8 16 30.9      9 11 08     3.52
205  R Cnc ~                        8 16 33.9     11 43 35     5.90
206  V Cnc ~                        8 21 42.9     17 17 08     6.80
207  Epsilon Car Avior              8 22 30.8    -59 30 34     1.86
208                                 8 25 39.5     -3 54 23     3.90
209  Beta Vol                       8 25 44.3    -66 08 13     3.77
210  1 Omicron UMa                  8 30 15.8     60 43 05     3.36
211  Beta Pyx                       8 40 06.1    -35 18 30     3.97
212  Omicron Vel                    8 40 17.6    -52 55 19     3.62
213                                 8 40 37.6    -46 38 55     3.84
214  Alpha Pyx                      8 43 35.5    -33 11 11     3.68
215  47 Delta Cnc                   8 44 41.0     18 09 15     3.94
216  Delta Vel Alsephina            8 44 42.2    -54 42 30     1.96
217                                 8 46 01.7    -46 02 30     3.91
218  11 Epsilon Hya                 8 46 46.5      6 25 07     3.38
