W $Cet ~,.02072,-14.4034,7.4
21 $Alpha And,.08232,29.0526,2.06
11 $Beta Cas,.09106,59.0859,2.27
$Epsilon Phe,.09246,-45.4451,3.88
88 $Gamma Peg,.13141,15.1101,2.83
8 $Iota Cet,.19256,-8.4926,3.56
T $Cas ~,.23145,55.4733,6.6
R $And ~,.24019,38.3438,7.39
$Beta Hyi,.2546,-77.1515,2.8
$Kappa Phe,.26121,-43.4048,3.94
$Alpha Phe,.2617,-42.1822,2.39
14 $Lambda Cas *,.31463,54.312,4.73
17 $Zeta Cas,.36582,53.5349,3.67
31 $Delta And,.39196,30.514,3.27
18 $Alpha Cas,.40304,56.3215,2.23
16 $Beta Cet,.43353,-17.5912,2.04
24 $Eta Cas *,.49059,57.4858,3.41
27 $Gamma Cas,.56424,60.43,2.47
37 $Mu And,.56451,38.2958,3.87
U $Cep ~,1.02183,81.5233,6.6
$Beta Phe,1.0605,-46.4307,3.31
$Zeta Phe,1.0823,-55.1445,3.92
31 $Eta Cet,1.08353,-10.1056,3.45
43 $Beta And,1.09438,35.3714,2.06
45 $Theta Cet,1.24013,-8.1101,3.6
37 $Delta Cas,1.25489,60.1407,2.68
$Gamma Phe,1.28219,-43.1906,3.41
$Delta Phe,1.3115,-49.0422,3.95
99 $Eta Psc,1.31289,15.2045,3.62
$Alpha Eri #Achernar,1.37429,-57.1412,.46
51 $And,1.37595,48.3742,3.57
52 $Tau Cet,1.4404,-15.5615,3.5
55 $Zeta Cet,1.51276,-10.2006,3.73
2 $Alpha Tri,1.53048,29.3444,3.41
45 $Epsilon Cas,1.54236,63.4013,3.38
6 $Beta Ari,1.54383,20.4829,2.64
Sigma 186 *,1.55537,1.5059,6.01
$Chi Eri,1.55575,-51.3632,3.7
$Alpha Hyi,1.58462,-61.3412,2.86
113 $Alpha Psc *,2.02027,2.4549,3.82
50 $Cas,2.0326,72.2517,3.98
57 $Gamma-1 And *,2.03539,42.1947,2.18
13 $Alpha Ari #Hamal,2.07103,23.2745,2
4 $Beta Tri,2.09325,34.5914,3
$Phi Eri,2.16306,-51.3044,3.56
W $And ~,2.17333,44.1826,7.5
68 $Omicron Cet #Mira ~,2.19206,-2.5839,3.04
$Delta Hyi,2.2145,-68.3934,4.09
1 $Alpha UMi #Polaris,2.31504,89.1551,2.02
U $Cet ~,2.33437,-13.0856,6.5
